Report generated on: 11-17-2024 10:07:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil including lease condensate production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-WORL-TBPD.A","    World","59557.68724043715","55899.592030136984","53453.196824657534","53249.761994520544","54498.53904080289","53965.4347203372","56326.14124383562","56649.39526022825","58696.60208757449","59802.71265338047","60497.91240205605","60128.17913766742","60100.69769622195","58754.467657534246","60577.42822465753","61568.593884931506","62841.40155737705","65001.26453972603","65921.77018082191","64359.98553150685","66358.85128333334","66326.6145869041","65772.88455342465","69257.73056986301","72077.98248907104","74027.85678904109","74233.60124931506","74264.11816986301","74469.6522704918","73145.72246301369","74407.78495518037","75084.26675138493","76683.47228092405","76767.80062419453","78611.9004648589","80965.42423367534","81022.57698360656","81205.82759091968"
"INTL.57-1-AFG-TBPD.A","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ALB-TBPD.A","        Albania","","","","","54","50","45","40","30","30","20","16.487671232876714","12","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6.781","7.574","7","9","10","6","5.328767123287672","10.843835616438357","15.515068493150684","16.83606557377049","17.008219178082193","20.506849315068493","20.161643835616438","22.74863387978142","17"
"INTL.57-1-DZA-TBPD.A","        Algeria","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4398907103825","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","744.9590163934427","740.1643835616438","746.2876712328767","763.3972602739726","818.3879781420765","849.3424657534247","821.4109589041096","756.9589041095891","805.5874316939891","867.4794520547945","975.5890410958904","1501.890410958904","1579.1857923497269","1649.5643835616438","1656.0430136986301","1668.1155205479452","1705","1584.876712328767","1540","1540","1532.2431693989072","1461.7808219178082","1420","1429","1348.360655737705","1301.7534246575342"
"INTL.57-1-ASM-TBPD.A","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-AGO-TBPD.A","        Angola","150","130","122","177.0054794520548","208.02459016393442","231.34246575342465","282.13698630136986","360.05205479452053","452.0081967213115","454.7671232876712","474.63013698630135","499.63013698630135","535.4508196721312","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","729.1178082191781","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","987.5943306010929","1243.0553342465753","1405.9027863013698","1707.9527698630136","1950.6945081967212","1876.8082191780823","1908.5205479452054","1755.6164383561643","1787.049180327869","1802.6575342465753","1741.6164383561643","1801.86301369863","1769.6147540983607","1663.226530624685"
"INTL.57-1-ATA-TBPD.A","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ARG-TBPD.A","        Argentina","","","","","478","459.56164383561645","433.95616438356166","428.4328767123288","448.9781420765027","460.413698630137","482.62191780821917","493.1972602739726","558.275956284153","593.0082191780822","668.551","720.5500356164383","783.7026994535519","835.9643835616438","848.3899808219178","832.8070602739726","800.8231038251366","825.6981753424658","800.3786328767123","765.6972602739726","730.1174398907103","664.6935287671233","660.7966301369863","653.1839150684932","661.2152377049181","628.8054739726027","613.3419616438356","576.0272712328767","551.1197896174864","539.9405095890411","532.1596794520548","532.2395178082191","510.50543989071036","479.6305892690712"
"INTL.57-1-ARM-TBPD.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ABW-TBPD.A","        Aruba","--","--","--","--","--","--","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-AUS-TBPD.A","        Australia","","","","","498.8606557377049","545.2493150684932","514.254794520548","552.0465753424658","520.0218579234972","489.4821917808219","577.0630136986301","544.9369863013699","533.7896174863388","495.86301369863014","536.1332301369863","514.3394849315068","535.0529426229508","569.8394136986301","546.0477397260274","534.876802739726","721.227849726776","656.7681643835616","629.2434821917808","527.4199287671233","448.4608825136612","418.89050684931505","436.3761945205479","448.67690410958903","459.30054644808746","463.68219178082194","478.5753424657534","411.3315068493151","405.379781420765","334.58082191780824","353.35616438356163","322.32602739726025","289.74863387978144","263.23204611025204"
"INTL.57-1-AUT-TBPD.A","        Austria","","","","","23","22.167123287671235","22","20.5013698630137","22.838797814207652","22.660273972602738","22.40821917808219","24.736986301369864","22.833333333333332","21.65205479452055","21.073972602739726","20.246575342465754","19.593016393442625","18.405479452054795","18.747945205479454","18.167123287671235","18.61584699453552","18.915068493150685","18.610958904109587","17.575342465753426","17.997267759562842","16.495841095890412","16.534068493150684","16.457443835616438","16.081967213114755","16.317808219178083","16.745205479452054","17.660273972602738","16.915300546448087","16.15890410958904","17.16986301369863","16.495890410958904","15.16120218579235","14.183449315068493"
"INTL.57-1-AZE-TBPD.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","213","209","182.72714794520547","185.22613424657536","181.5106393442623","181.47226575342467","231.3734520547945","276.09869315068494","281.2218169398907","300.1632054794521","307.85705753424656","310.57371506849313","310.4061174863388","447.74027671232875","649.2922849315069","862.162997260274","869.5628415300547","1005.8465753424657","1034.627397260274","982.9945205479452","921.7486338797814","870.5945205479452","846.758904109589","848.4739726027398","833.5382513661202","789.2125384330905"
"INTL.57-1-BHR-TBPD.A","        Bahrain","48.24590163934426","46.082191780821915","43.9041095890411","42","41.0792349726776","42.43561643835616","43.92328767123288","42.42739726027397","43.58743169398907","42.40821917808219","41.75616438356165","37.83835616438356","41","41","180","182","183","187","189","182.425","186.62","182.418","184.805","188.676","187.86","186.57","183.301","184.28","182.691","182.219","181.74520547945207","190.1068493150685","171.9315300546448","198.1972602739726","202.33424657534246","202.1887780821918","201.57598907103826","199.97949315068493"
"INTL.57-1-BGD-TBPD.A","        Bangladesh","","","","","","2","3","3","3","3","3","3","3","3","3","3","3","2.495890410958904","2","3.591780821917808","4","4","6","6","6","6","6","6","5.666666666666667","5","5","5","4.666666666666667","4","4","4","4","3"
"INTL.57-1-BRB-TBPD.A","        Barbados","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1.071309589041096","1.0138465753424657","1","1","1","1","1","1","1","1","1","1","1","1","1","0.6408575342465753"
